date_published;package;version trusty amd64;DownloadCount trusty amd64
17.03.2015;python-pandas;0.16.0;43
28.02.2015;python-xlrd;0.9.3;35
17.03.2015;python-pandas-lib;0.16.0;32
19.03.2015;python-statsmodels;0.7.0;25
19.03.2015;python-statsmodels-lib;0.7.0;24
04.03.2015;python-patsy;0.4;23
03.11.2013;python-gloo;0.0.1;14
22.11.2014;python-ggplot;0.3.0;11
21.10.2013;python-scikits-timeseries;0.91.3;9
20.03.2015;python-bottleneck;0.7.0;8
21.03.2015;python-xlsxwriter;0.6.4;6
19.03.2015;python-scikits.statsmodels;0.7.0;5
28.01.2015;python-vincent;0.4.1;3
28.02.2015;python3-xlrd;0.9.3;2
13.03.2015;python3-seaborn;0.6.0;2
13.03.2015;python-seaborn;0.6.0;2
19.03.2015;python-statsmodels-doc;0.7.0;1
12.03.2015;python-folium;0.1.2;1
22.03.2015;python-spyderlib;2.4.0;0
21.03.2015;python-pvlib;0.3.0;0
01.03.2015;python-mpltools;0.2.0;0
22.03.2015;spyder;2.4.0;0
